supplierID,category,subCategory,certifier,expiryDate,documents
11ec6d348139d2608e7db9142d073f01,WBE,,,,
11ec82a8564ac4e08e7db9142d073f01,PWD,,,,
11ec82a8564ac4e08e7db9142d073f01,LGBTQ+,,,,
11ec82a8564ac4e08e7db9142d073f01,MBE,,,,
11ec82a8564ac4e08e7db9142d073f01,VBE,,,,
11ec82a8564ac4e08e7db9142d073f01,WBE,,,,
11ec899008cbe980865b5bd734baea41,WBE,,,,
11ec899008cbe980865b5bd734baea41,MBE,,,,
11ec8a755e629b10865b5bd734baea41,PWD,,,,
11ec9475d50853e0b6b7cf7222d09d7d,LGBTQ+,,,,
11ec95dd88880790b6b7cf7222d09d7d,WBE,,,,
11ec9ae1c3f5aea0b35109200cceb0b2,MBE,,,,
11ecc70bf10f4440afbefdc62e878acf,VBE,,,,
11ec9ae01bc5c360b35109200cceb0b2,PWD,,,,
11ec9ae01bc5c360b35109200cceb0b2,LGBTQ+,,,,
11ec9ae01bc5c360b35109200cceb0b2,WBE,,,,
11ec9ae01bc5c360b35109200cceb0b2,VBE,,,,
11eb2b28cd64beb0b049c76618ca89c0,WBE,,,,"id:11ec4e9cae91d3e0821faf998d9a9775,name:Handelsregisterauszug 19.11.2021.pdf"
11eb2e37cbfdf7f1b049c76618ca89c0,PWD,,,,
11eb2e37cbfdf7f1b049c76618ca89c0,MBE,,,,
11eb2e37cbfdf7f1b049c76618ca89c0,WBE,,,,"id:11ebd9ca3c2bd9a093a2c7c3d8310491,name:Certificate - Mystic Cloud (Pty) Ltd ta VWV Group RS-12943-1120-C73-R2.pdf"
11eb2e37cc29e9f0b049c76618ca89c0,WBE,,,,"id:11ec107f21fe7ce0a30c75aa24f4dcbb,name:BEE 2021 YIEDI.pdf"
11eb5cd7b8e65940b21d1361f2cdefee,OTH,,,,"id:11ec842769172c009826d5b1ee4ba731,name:Siemens Mobility B-BBEE Certificate - EXPIRES 22 December 2022.pdf"
11eb5cd7b8f107a0b21d1361f2cdefee,WBE,,,,"id:11ecaa75944c80e0bb52c72f7621ba40,name:Confirmation of Shareholding Letter_2020.07.06.pdf"
11eb67ad638b78a095d701990ae170e9,WBE,,,,"id:11ec3bcb8237af109e3651ef99a58fff,name:BBBEE Certificate.pdf"
11eb6d4f970d7e6095d701990ae170e9,MBE,,,,"id:11ec251025a70510b637298fd044e3a1,name:BEE.pdf"
11eb92de77f6cc709be7a1db0352e8c2,LGBTQ+,,,,"id:11ecd2c2ab6a46c0ae73792d5a983617,name:Inclusion for all.pdf"
11eb92de77f6cc709be7a1db0352e8c2,PWD,,,,"id:11ecd2c2ab6a46c0ae73792d5a983617,name:Inclusion for all.pdf"
11ebb880e59e3ed0a75ec9758cebfdef,MBE,,,,
11ebb880e59e3ed0a75ec9758cebfdef,WBE,,,,"id:11ec1c7a02bb26108627d1948d4e290f,name:FSMSDC.NMSDC Certificate 10-1-22.pdf"
11ebcf73e48174908cde09e87a3049e7,MBE,,,,"id:11ebe4b49e387b4096941ff44528521d,name:ADR MBE Certificate - 2021.pdf"
11ebe09a03f9a5908c872374e5ff3065,MBE,,,,"id:11ec0cebc886fb60a30c75aa24f4dcbb,name:Infometry Inc 2021 - '22 MBE Certificate.pdf"
11ebe09a042f82a18c872374e5ff3065,WBE,,,,"id:11ec7e09869bddd08e7db9142d073f01,name:Sunstates Security LLC - WBENC Certification - 2022.pdf"
11ebe09b470ed8408c872374e5ff3065,MBE,,,,"id:11ebea44bae3a9509935b9d8cfedcc14,name:this is bien, llc - Ricardo Roberts.pdf"
11ebe09b473524f08c872374e5ff3065,WBE,,,,"id:11ebe349f42623708c872374e5ff3065,name:WBENC CERTIFICATE.pdf"
11ebe09b46f535c08c872374e5ff3065,MBE,,,,
11ebe09b46f535c08c872374e5ff3065,WBE,,,,"id:11ec3b2cab3b1ae09e3651ef99a58fff,name:2021 WBENC Certificate.pdf"
11ebe09b475668908c872374e5ff3065,MBE,,,,"id:11ec05b1cd94bcf0a30c75aa24f4dcbb,name:2021_MBE Cert_Inspired Intellect.pdf"
11ebe09db79896d08c872374e5ff3065,MBE,,,,"id:11ecd23c55f0adf0ae73792d5a983617,name:GMSDC 8.2022.pdf"
11ebe09db79896d08c872374e5ff3065,VBE,,,,"id:11ecd23c55fe90a0ae73792d5a983617,name:SDVOSB Reverification 6.29.2024.pdf"
11ebf1750af30b20a85e0d8c3bf36dce,MBE,,,,"id:11ec0c0a5921db00a30c75aa24f4dcbb,name:WBENC2021.pdf"
11ebf1750af30b20a85e0d8c3bf36dce,WBE,,,,"id:11ec0c0a591a8800a30c75aa24f4dcbb,name:NMSDC 2021.pdf"
11ebf3b8fe239950be30a9bc040e141d,LGBTQ+,,,,"id:11ec2203a95a81d0a638f3ddeb58c381,name:code-of-conduct-2020-uk.pdf"
11ebf3b8fe239950be30a9bc040e141d,PWD,,,,
11ebf5bb9cdf4720be30a9bc040e141d,LGBTQ+,,,,"id:11ebf618ad5d6840ae5d3148edda3abd,name:reconocimiento equidad-CUSHMAN & WAKEFIELD S DE RL DE CV.pdf"
11ebf5bb9cdf4720be30a9bc040e141d,PWD,,,,
11ec1512033bad40a30c75aa24f4dcbb,VBE,,,,"id:11ec3cb689483d10ba64f3e28b3de476,name:NVBDC VOB Renewal-2 Certificate - Patriot Staffing & Services LLC 2022.pdf|id:11ec17c558968b608627d1948d4e290f,name:NJ Diversity Certification.pdf"
11ec1788864ff1a092b227231b918c17,WBE,,,,"id:11ec1afc603d3eb08627d1948d4e290f,name:Certificate_WBE2000622_16Mar2020Exp31Mar2022_20916349_01208280_20210420074108.pdf"
11ec1b0cd05cc1608627d1948d4e290f,MBE,,,,"id:11ec31340ab4471083c0b12207168c7f,name:MBE_NMSDC_2022.pdf"
11ec1d67c4ea50109b7deba5fb0be74c,MBE,,,,"id:11ec1f7caeb3fdc0a638f3ddeb58c381,name:BEE.pdf"
11ec260145226eb0b637298fd044e3a1,VBE,,,,"id:11ec31322d35a92083c0b12207168c7f,name:CaCS NYS Recert.pdf"
11ec46c738c19650af0b3d275e0437c5,WBE,,,,"id:11ec47036e1ea9a0af0b3d275e0437c5,name:WBENC_Certification_21-22.pdf"
11ec5e240a2456b091c3393707ad4ae3,WBE,,,,"id:11ec5eb88fef49a091c3393707ad4ae3,name:WBENC 2022 Certification.pdf"
11ec6ff2895c77708e7db9142d073f01,LGBTQ+,,,,"id:11ec7177579fa5508e7db9142d073f01,name:IBM_2015_CR_report.pdf"
11ec6ff2895c77708e7db9142d073f01,WBE,,,,
11ec7df94c51a2f08e7db9142d073f01,PWD,,,,"id:11ec84f4d39c86609826d5b1ee4ba731, name:1. Equality and Diversity Policy Reviewed May 2021.pdf"
11ec7df94c51a2f08e7db9142d073f01,LGBTQ+,,,,
11ec7df94c51a2f08e7db9142d073f01,MBE,,,,
11ec88314d639670865b5bd734baea41,WBE,,,,"id:11ec883e17c50320865b5bd734baea41,name:WeConnect Diverse Supplier Certificate Showcase Interiors 13 Aug 22.pdf"
11ecd5bc93146cc1b0ca89326f5fd1c3,MBE,,,,"id:11ecd61763a03b80b0ca89326f5fd1c3,name:E. Maygoo Technologies, LLC - DBE Approval Letter.pdf"
