supplierID,category,subCategory,certifier,expiryDate,documents
11eb2009c0e304f09dbc7339e240521a,WBE,,WBENC,,"id:11ec835bfaa829709826d5b1ee4ba731,name:WIM Tech - QSE Sworn Affidavit - Commissioned - 30.06.2021.pdf"
11eb2009c0e304f09dbc7339e240521a,MBE,,,,
11eb2385836c0890b6c0b1f5167550f1,PWD,,,,
11eb2385836c0890b6c0b1f5167550f1,MBE,,,,
11eb2385836c0890b6c0b1f5167550f1,LGBTQ+,,,,
11eb2e37cc226fe0b049c76618ca89c0,WBE,,,,
11eb5bd0fb12f1a0b21d1361f2cdefee,WBE,,,,
11eb346290207e20b86d4f563ddaa693,LGBTQ+,,,,
11eb346290207e20b86d4f563ddaa693,MBE,,,,
11eb346290207e20b86d4f563ddaa693,PWD,,,,
11eb6602ffd6ff6095d701990ae170e9,PWD,,,,
11eb6602ffd6ff6095d701990ae170e9,LGBTQ+,,,,
11eb6602ffd6ff6095d701990ae170e9,MBE,,,,
11eb6602ffd6ff6095d701990ae170e9,WBE,,,,
11eb6602fff583e095d701990ae170e9,OTH,,,,
11eb6602ffff20d095d701990ae170e9,WBE,,,,
11eb660460c94e8095d701990ae170e9,PWD,,,,
11eb660460c94e8095d701990ae170e9,LGBTQ+,,,,
11eb66030009f64095d701990ae170e9,PWD,,,,
11eb66030009f64095d701990ae170e9,LGBTQ+,,,,
11eb66030009f64095d701990ae170e9,MBE,,,,
11eb66030009f64095d701990ae170e9,WBE,,,,
11eb66030009f64095d701990ae170e9,VBE,,,,
11eb660460cb234095d701990ae170e9,PWD,,,,
11eb660460cb234095d701990ae170e9,LGBTQ+,,,,
11eb660460cb234095d701990ae170e9,MBE,,,,
11eb660460cb234095d701990ae170e9,WBE,,,,
11eb660460cb234095d701990ae170e9,VBE,,,,
11eb660460cb234095d701990ae170e9,OTH,,,,
11eb67ad638907a095d701990ae170e9,PWD,,,,
11eb67ad638907a095d701990ae170e9,WBE,,,,
11eb7febc1dab4b0b49121b8c64bcb37,MBE,,,,
11eb8afb402f7b10854df35e92dd5d13,MBE,,,,
11eb90b2250a1bd09be7a1db0352e8c2,MBE,,,,
11eb92db183b61909be7a1db0352e8c2,WBE,,,,
11eb92db184859e09be7a1db0352e8c2,WBE,,,,
11eb9827eed783e0bfd06bd4c3393204,OTH,,,,
11ebb88780de7350a75ec9758cebfdef,MBE,,,,
11ebb88780de7350a75ec9758cebfdef,WBE,,,,
11ebc22c664f61808d447596f43397e2,WBE,,,,
11ebc22c66504be08d447596f43397e2,WBE,,,,
11ebc22c66504be08d447596f43397e2,MBE,,,,
11ebc22c66504be08d447596f43397e2,LGBTQ+,,,,
11ebc22c66504be08d447596f43397e2,PWD,,,,
11ebd8987bb54d00b690e3a102391f1a,LGBTQ+,,,,
11ebdad8e6d45bc093a2c7c3d8310491,MBE,,,,
11ebddac9c612e20af76b74b444a9e81,WBE,,,,
11ebddac9c612e20af76b74b444a9e81,MBE,,,,
11ebddac9c612e20af76b74b444a9e81,LGBTQ+,,,,
11ebe0922732a6908c872374e5ff3065,WBE,,,,
11ebe0922732a6908c872374e5ff3065,MBE,,,,
11ebe0922732a6908c872374e5ff3065,LGBTQ+,,,,
11ebe09b46fd73208c872374e5ff3065,MBE,,,,
11ebe09db73abf608c872374e5ff3065,WBE,,,,
11ebe09db7c747f08c872374e5ff3065,LGBTQ+,,,,
11ebe4a10c415d5096941ff44528521d,LGBTQ+,,,,
11ebe4a10c415d5096941ff44528521d,WBE,,,,
11ebe4a10c415d5096941ff44528521d,PWD,,,,
11ebe4a10c415d5096941ff44528521d,OTH,,,,
11ebea23685814d09935b9d8cfedcc14,WBE,,,,
11ebea23685814d09935b9d8cfedcc14,PWD,,,,
11ebea23685814d09935b9d8cfedcc14,LGBTQ+,,,,
11ebea240ed58a909935b9d8cfedcc14,LGBTQ+,,,,
11ebea240ed58a909935b9d8cfedcc14,MBE,,,,
11ebef0a1dd805a09935b9d8cfedcc14,WBE,,,,
11ebef0a1dd805a09935b9d8cfedcc14,MBE,,,,
11ebf0722e578e00a85e0d8c3bf36dce,PWD,,,,
11ebf0722e578e00a85e0d8c3bf36dce,LGBTQ+,,,,
11ebf0722e578e00a85e0d8c3bf36dce,MBE,,,,
11ebf11a55035ea0a85e0d8c3bf36dce,WBE,,,,
11ebf3904c072930be30a9bc040e141d,PWD,,,,
11ebf3904c072930be30a9bc040e141d,LGBTQ+,,,,
11ebf3904c072930be30a9bc040e141d,MBE,,,,
11ebf3b8fe234b30be30a9bc040e141d,PWD,,,,
11ebf3b8fe234b30be30a9bc040e141d,LGBTQ+,,,,
11ebf3b8fe234b30be30a9bc040e141d,WBE,,,,
11ebf3b8fe234b30be30a9bc040e141d,OTH,,,,
11ebfc08f6b447c0a30c75aa24f4dcbb,WBE,,,,
11ec00bb825ba050a30c75aa24f4dcbb,WBE,,,,
11ec0be963ad9ad0a30c75aa24f4dcbb,LGBTQ+,,,,
11ec0be963ad9ad0a30c75aa24f4dcbb,MBE,,,,
11ec0be963ad9ad0a30c75aa24f4dcbb,WBE,,,,
11ec17d86db891b08627d1948d4e290f,WBE,,,,
11ec1aabdbcb5b308627d1948d4e290f,WBE,,,,
11ec1ab8141f8f408627d1948d4e290f,WBE,,,,
11ec214568c1e3c0a638f3ddeb58c381,PWD,,,,
11ec214568c1e3c0a638f3ddeb58c381,LGBTQ+,,,,
11ec214568c1e3c0a638f3ddeb58c381,MBE,,,,
11ec2cf107538fa083c0b12207168c7f,MBE,,,,
11ec3158df1c000083c0b12207168c7f,LGBTQ+,,,,
11ec3344ecdb4af083c0b12207168c7f,WBE,,,,
11ec3344ecdb4af083c0b12207168c7f,PWD,,,,
11ec3344ecdb4af083c0b12207168c7f,LGBTQ+,,,,
11ec48a3af1d60d0af0b3d275e0437c5,WBE,,,,
